author,date,location,bank,star,text,like
Nicolas,1.09.2023,"Mansfield, CT",merrick_bank,5,I have been very happy with Merrick Bank. I would recommend Merrick Bank to friends and family. I have not had to call for customer service or needed any help as the app is very clear and most of my questions I have had have been answered in the FAQ section.,
Edwin,1.09.2023,"Lyons, IN",merrick_bank,1,"When I called to find out what to do when I had charges on my bill that I didn’t make. I was angry, I was then transfer to an agent. I was put on hold and told to wait for the next available agent. It was 30 mins so I waited 35 mins. At that time I hung up without talking to anyone.",
Christopher,31.08.2023,"Williston, ND",merrick_bank,2,"Was promised double my credit amount. I’ve made on time payment. I requested an increase and got $200 increase. My limit was $600. Just false promise of the reason I signed up. I called about it and it’s because my autopay glitched and didn’t pull out of my account like it was supposed to. So I made on time payment for 6+months. And I got $200 increase, not the double. It’s just poor experience especially when I’ve paid on time and have used the card. Also you would NOT get rid of the late payment. Even though it was an issue with your system.",
Raymond,30.08.2023,"Greenwood, IN",merrick_bank,4,The relationship between myself and the company is still new. Decent start to the credit line and I will patiently wait for the credit line to be doubled within 1 year per the agreement. If that does happen I will keep my end of the deal and make all payments on time and promote the company with even more positive reviews.,
Aaron,30.08.2023,"Saratoga Springs, UT",merrick_bank,5,Merrick is very transparent about your credit and billing and also offers solid advice on rebuilding your credit. The interest rate for me wad fair and they even tell you about keeping your spending on the card under 30 percent to help with your credit. I highly recommend merrick bank to anyone looking for a good credit card which also rewards you for paying on time.,
Jamaal,30.08.2023,"Edison, NJ",merrick_bank,5,Their app is very easy to use and comes with a free fico score review every month. Talking to their customer service is also usually very easy. You can apply for a credit increase every 6 months. If you're on time with your payments they may increase your credit line automatically within that period.,
Coral,30.08.2023,"Arlington, TX",merrick_bank,5,Very helpful personnel on phone and in person. Love I can transfer money to family with a couple clicks. I appreciate the ability to make an appointment if need be and not wait for a opening to discuss account. I also like how close it is if I need to talk or do business.,
Joyce,30.08.2023,"Bethel, CT",merrick_bank,5,"From the beginning I've had a good response from them. My initial card was approved quickly and sent quickly. Just recently, they reported to me charges that were suspicious. They weren't mine so they quickly restored them and VERY quickly, I got my new card. I'm happy with them. This is me, no incentives to write it.",
Mark,30.08.2023,"Lawrenceville, GA",merrick_bank,4,Had a few fraudulent charges appear and they handled it immediately. Thanks. Canceled my card and sent a new one that I received in 5 days. Overall in the past 5 years I've received plenty of help when needed. I changed address recently and it was handled by a well spoken professional person. Again thank you.,
Shirnale,24.08.2023,"Rocky Mount, NC",merrick_bank,5,The website is very easy to use and easy to find what you are looking for whether it be to enroll in paperless billing or make a payment. The payment process is very easy and quick and it is painless to update payment information if changing a bank or using a new checking or savings account.,
Cleo,23.08.2023,"Charlotte, NC",merrick_bank,5,Very wonderful experience since I've been a member. Keep up the great job. I've shared my experience and referred several people to the bank. My customer support experience is just as great each time I have called which makes things a lot easy to enjoy.,
Scott,23.08.2023,"Cornwall On Hudson, NY",merrick_bank,4,"Merrick Bank card has been good for me. I get periodic increases due to my pay history and great standing. The app is helpful and easy to use. I have only two concerns / complaints. 1. My card is broken and the app will not let me order a replacement one. 2. When I call the 800#, it does not give me an option to speak with anyone. Have NEVER been able to get ahold of a live person.",
Sue,23.08.2023,"Redondo Beach, CA",merrick_bank,5,Merrick was the first bank that allowed me the chance to rebuild my credit after an unfortunate business bankruptcy. They even raised my credit limit because I've kept my payments on time. The only thing I'm sad about is that they changed the Visa to Mastercard. I'm very grateful to Merrick Bank.,
Julie,23.08.2023,"Smyrna, DE",merrick_bank,1,Every time I try to make a payment with my card it takes the money out then puts it right back into my account and shows that I haven't paid. I make my payments early every month and it doesn't show that I make any with your company! I don't like that especially because it brings my credit score down.,
Gary,21.08.2023,"Urbana, IL",merrick_bank,2,I like the ease of how my bill has been easy to pay online and I appreciate the credit line increases. But what I HATE is dealing with overseas call centers for customer service. I don't understand how you guys cannot use US BASED call centers because when I first started with you guys that's who I talk to but then they told me that you guys opened up overseas call centers instead as an option which should have never been done-- I don't understand them and it frustrates me when the US BASED call center worked great before and made your company stand it and I told my friends about your card during that time but since then I have that bad decision to open up foreign base call centers I have not mentioned your card to anyone.,
Kyriaki,16.08.2023,"Mount Pocono, PA",merrick_bank,5,"It has been an absolute pleasure to have this card! When things went sour in my life the representative was there to assist and find me a solution!!! You are the BEST!! I appreciate the limit increase as well!! The representatives are very welcoming. Professional, courteous and understanding! I sure am Happy I have them by my side.",
Shawn,6.08.2023,"Punxsutawney, PA",merrick_bank,5,Been very happy with this card from the day I got it until now. So keep up the good team work. Plus if any friends all about wanting a good credit card I will tell them right away about the card I have now. And all the features you can get out rewards you can earn by using the credit card.,
James,5.08.2023,"Hayward, CA",merrick_bank,5,Very pleased with Merrick Bank MasterCard. I'm kept posted to my phone on my balance. I get my statements on time by email and to my phone. When I disputed charges to my card it was handled in a professional manner. My card was canceled at that time and a new one was shipped to me in a timely manner.,
Sherri,4.08.2023,"North Port, FL",merrick_bank,5,Very pleased with my Merrick Bank Card. Just wished the interest rates were a bit lower with the way the inflation is. Would recommend this card to anyone looking for a good card to help them through these tough times and the future. Automated system is easy to navigate through. Customer Service is AMAZING also..,
Kama,4.08.2023,"Kingston, WA",merrick_bank,5,"I have never had any issues with this card, they have done everything they claimed they would do which was raise my credit score and increase my credit limit with time. I have recently been talking to my daughter about getting this as well as soon as I figure out how.",
Chuck,4.08.2023,"York, PA",merrick_bank,4,"Merrick helped me with my credit score and also didn't take forever, like other credit card companies to increase my credit line. I would recommend this company to my friends and family. If anyone does acquire a card I would suggest downloading the Merrick app. It's convenient and easy to use to make payments.",
Jean,4.08.2023,"Beaverton, OR",merrick_bank,5,You guys are great. I went to a donut place and was overcharged and my donuts were horrible and after many attempts at trying to get my money refunded from the store and being hung up on by the manager I was frustrated and thought I was gonna take a loss but thanks to your helpful customer service my money was credited back quickly to my account. I will not only continue to keep my card with you but I will recommend you to friends and family.,
Brenton,4.08.2023,"Verona, PA",merrick_bank,5,"Easy to use and great customer service. Can look at FICO SCORE and the app is super easy with a quick glance option to enable to see your availability, amount spent and total limit. Information is secure, and low APR/ interest on transactions. Never had an issue with the card! I would recommend to anyone to get this card!",
Mona,4.08.2023,"Ojai, CA",merrick_bank,5,"I might not recommend to friends because they can get lower interest rates and I cannot. So maybe if the right person came along. I took this card because you let me. At a significantly higher interest rate. But as far as service, it's been very nice. I'm very glad to have this card.",
Stephanie,4.08.2023,"Walla Walla, WA",merrick_bank,4,"I am fairly happy with Merrick Bank, great customer service, always super helpful when I need to contact a consumer representative. My only wish is there was a faster way to increase my credit line, like an auto 3 to 6 month increase or a way to increase our levels to bypass the monthly service fees, these can be quite annoying when you pay your card off and then get another bill for $4.00.",
Rhonda,4.08.2023,"Quincy, MA",merrick_bank,5,I've only been a customer of Merrick for 2 months so far and I've had zero issues. I'd definitely recommend to a friend. It's even no hassle to pay the bill. So many places don't accept prepaid debit cards to pay bills but Merrick Bank does as some of us do not have regular bank accounts. It makes it so convenient.,
Tonya,4.08.2023,"Cleveland, OH",merrick_bank,1,"I’ve had Merrick for about 5 years, for the last year my card had a block on it due to suspicious activity. I was working 80+ hours a week due to staffing issues around this time and wasn’t able to get the information together that they needed. About a month ago I was able to call them, get them the information and they unblocked my account. Today I received a letter stating they closed my account due to inactivity and it was not allowed to be reopened. I had no balance on it, I was never late with my payment up until it was blocked I used it regularly and that’s how they treated me (they didn’t even give me a warning that it would be closed). When I called, I was treated like I was this horrible person. I won’t use this bank again! I honestly have better credit cards than Merrick Bank, it’s just the point that this is how they treat their customers that pay on time.",
1042,3.08.2023,"Palm City, FL",merrick_bank,1,I've been a customer for more than 7 years with this company. I received a letter yesterday stating that my account had been canceled due to no activity. This was done with no warning whatsoever and will have a negative affect on my credit rating I currently have good credit. I called the representative with absolutely no help from him and he agreed that they should send out warning letters that your account will be in risk of being canceled if you did not use your card. I've never had this happen in 40 years of having credit and credit cards from other companies. Everyone needs to be aware of hidden policies that these companies have.,
Barton,28.07.2023,"Alamo, CA",merrick_bank,2,Wait times for customer service can be extraordinary long and unreasonable. Fraud department needs to transfer you back to customer service to finalize a report and you may not get through. No access from abroad to app or desktop site. Just doesn't ever load.,
Sandra,27.07.2023,"Gainesville, FL",merrick_bank,3,"In the month of May, a credit card was sent, but I never received it. I requested another, which I got in July. When I tried to use it, I found out it was blocked. After complaining about that, I was told I had an outstanding balance. How can that be?",
Sherrie,26.07.2023,"Harrison, OH",merrick_bank,5,"I find working with with them very easy. They're always very informative and pleasant to speak to. Yes, I would recommend to friends and family! I'm very glad to have my credit card with them. I wasn't sure I wanted another credit card, but after I got it, I've been very happy with it!",
Ernestine,26.07.2023,"Sunbury, NC",merrick_bank,5,In my experience with Merrick Bank during the time that I have been a customer I've gotten nothing but great service. The way I've handled my business has continually been rewarded and I'm very satisfied. I've not had any type of problem that I can think of.. All I can really say is that it's a great card to have in your wallet. My husband also enjoys the benefits of his. I'm not sure what else I can say except thanks for the opportunity you have given us both.,
Jacqueline,26.07.2023,"Memphis, TN",merrick_bank,5,"Would definitely recommend Merrick Bank. I Love Merrick bank because you get incentives for using your card wisely and you get an increase on your card for paying your bill on time. It's a card you can use for paying bills, purchasing gas, buying groceries or whatever your every day needs might be. Definitely would recommend to a friend.",
Rhonda,26.07.2023,"Columbus, NE",merrick_bank,5,"The card is easy to use and I've never had an issue using it anywhere. The App is easy to use and understand when checking your balance of available credit, when looking up purchases and when making payments. I love this card and would recommend it to friends and family.",
Peggy Lynn,26.07.2023,"Cleveland, OK",merrick_bank,5,All was polite and friendly. Knows the rules and policies and procedures. Can help you with any and all problems. I like the ability of the workers that know their job and can help me with any and all problems that might come up. I would highly recommend you and your employees as very hardworking crew.,
John,26.07.2023,"Pico Rivera, CA",merrick_bank,5,"Yes, This card is helping to re establish my Credit and gain self dependence once again. It was offered to me and approved when I needed help the most and I do appreciate it and I am going to keep this account for a long time to come. Great customer service and website along with the app for your phone.",
Dhane,26.07.2023,"Spanaway, WA",merrick_bank,5,"Been a great card so far, trying to get my score back up to snuff, Merrick Bank approved me when others would not, I use the card when I need to and pay it off asap, it’s been great to have it when I need it. Can’t wait until my limit goes up so I can use it for larger purchases.",
Robert,24.07.2023,"Avon Lake, OH",merrick_bank,5,To this point I have had nothing but good experiences in my dealings with Merrick Bank. I have a credit card through them and have had nothing unexpected present itself. Based on my interactions I would feel comfortable in recommending Merrick to others. Transactions are seamless and their app is easy to use while being convenient.,
Pamela,23.07.2023,"Port Leyden, NY",merrick_bank,5,"I’m very happy with Merrick. I would recommend this card to all friends and family. Thank you for doing business with me. They even gave me an increase after paying on time. I plan on closing many of my other cards, but Merrick I will definitely keep. Thank you again.",
John,22.07.2023,"Barnesville, PA",merrick_bank,4,"The online process is great! The problem I have is the card is not recognized when paying at the pumps for gas. The reader has a hard time identifying the account #, it takes many attempts to get it to work! Sometimes I just use a different card. I know this is something I should call customer service about, just can't find the time.",
Beverley,22.07.2023,"Chicago, IL",merrick_bank,5,It is a good card to have in your wallet and I never had any problems using the card. The card is a great card to use anywhere in the us and out the country. I don't leave home without this card at anytime. Good card to have in your possession.,
Deborah,22.07.2023,"Alvin, TX",merrick_bank,5,"I wish there was a limit increase button on the website. My husband has his card nearly two years and has never had a limit increase. Is there a reason for this exclusion? Other than that, I love this card. The customer service department is great as well. I would recommend it to a friend.",
Charlotte,21.07.2023,"Waveland, MS",merrick_bank,5,"I am very pleased with Merrick Bank and the ease of navigating through my account on line. I am pleased to recommend Merrick Bank to anyone asking about my experience. Merrick was the first company to help me rebuild my credit with a starter $300 account. This was the first step leading me to now have as much as $5,000 and $10,000 lines of credit available at a couple of institutions. Thank you Merrick for the helpful re-start.",
Ethel,21.07.2023,"Liberty, MO",merrick_bank,5,"I have been very satisfied with the service from Merrick Bank. I have never had a problem, everything works perfectly. Statement comes in a timely manner and can be paid online. Statement is received online so no need for checks in the mail. I like the security of no paper to shred or any mail to be lost or stolen.",
REBECA,20.07.2023,"West Jordan, UT",merrick_bank,1,Largest 2022. I have available credit $769.00 according to ATM withdrawal Failed attempt. They are on my credit as delinquent as well an account opened 16th and account opened 17th. I only had one account.,
Jose,14.07.2023,"Simpsonville, SC",merrick_bank,5,I love my Merrick credit card. It's the best one of several of my credit cards because of its cash advances and credit limit. Thank you Merrick. For the outstanding job and your app is easy to use and very convenient. I use it all the time and some time I take advances to help me pay other bills that I need to pay off in cash.,
Jorge,13.07.2023,"Tucson, AZ",merrick_bank,1,You guys are thieves and I hate this company and I'll never recommend it to NO ONE. THANK YOU FOR NOTHING BUNCH OF THIEVES and I hate to call you guys coz it's nothing but machines answering the phone so you guys suck donkey.,
Joseph,13.07.2023,"Sacramento, CA",merrick_bank,5,Merrick gave me the opportunity to show I am in a better financial situation. I didn’t disappoint them and got an increase within six months! They helped me get back. I’m on my feet. I would strongly refer them to others in my situation and look forward to a continued relationship with them. Thank you Merrick Bank for being my financial partner.,
Michael,13.07.2023,"Fort Lee, NJ",merrick_bank,2,"This can't happened to a customer. I spoke to a representative customer service a few days ago. I think it was the 7 or the 8 of July try to fix the problem about fraud in my account, I told him it wasn't me who did this transactions for $39.99 and $12.99 and the last one for $39.99 again. I think it was a Fraud department Representative and he transfer me to a new card department and that's when the nightmare started and I was waiting forever. Nobody pickup the phone for an hour and then somebody pick up the phone and I said hello and then they hang up the phone on me. I felt insulted by a Merrick Bank representative. Now I need a new credit as soon as possible. It should be more representatives working in that department. And that's the reason the I am unhappy with Merrick Bank, please kindly send me a new credit card, any question call at my cell #** or email me at **.",
Allen,12.07.2023,"Hobart, IN",merrick_bank,5,I was happy when I signed up. I use your card often and I'm very happy with it. I originally had a little problem but it was just because of some stuff that I had to change because of a phone number. Other than that everything has been great and I'm very happy with your service.,
Lawrence,12.07.2023,"Albuquerque, NM",merrick_bank,5,"Have had an account with Merrick Bank for several years. Have been very happy with the service, communication and benefits that Merrick Bank has provided. Would definitely recommend Merrick Bank to anyone in the market for a financial institution. Whether it is for a credit card savings or checking account or a loan.",
Woodie,12.07.2023,"Mobile, AL",merrick_bank,3,"When I accepted your card, I did so thinking that I would get a decent credit line increase, if I paid in a timely manner. Keeping my balance at 30% doesn't allow me to do much of anything when I'm traveling. If I had to do it all over again, I would not have accepted your pre approval..",
Darren,12.07.2023,"Wichita, KS",merrick_bank,2,"It takes several days to get a notification that my card has been used for a purchase. I have other credit cards with other banks and I get notifications in a few seconds after I make a purchase. When it takes days to get notification from Merrick Bank I have to think to myself, did I make that purchase or does someone have my account info and making unauthorized purchases. So if Merrick Bank could speed up how long it takes to get notification of each purchase that would make me give a 5 star.",
Ricardo,12.07.2023,"Tucson, AZ",merrick_bank,5,"Easy card to get, although expensive. I would suggest you offer incentives to those who pay on time, like annual fee waiver, you are already getting an incredibly high interest rate, perhaps those who pay on time, get a rate reduction as an incentive to stay on target, the credit bureaus are not so generous.",
Melissa,12.07.2023,"West Seneca, NY",merrick_bank,4,"I actually really like my Merrick Bank Card. I like the fact that I can see my credit score and review ways to improve it. But if I could add something to make it a 5 star rating, it would definitely be to add some type of rewards program to the account. This would give me the incentive to use it more. Everything else is great.",
Rino,12.07.2023,"Newbury, OH",merrick_bank,3,High interest rates. Yearly fees don't help. Hard to pay down. Interest rates never gone down and never missed a payment but yet Interest always stays high. Will be trying to get it paid this yr and move on. The yearly fee is a pain. You would think it would be dropped but it doesn't look like it will ever be.,
Elaine,12.07.2023,"Whitman, MA",merrick_bank,5,Merrick Bank is the best bank ever. They gave me credit when most wouldn't. I had unknown charges on my account and they helped me get it straight and I am forever grateful. When I talk to people on the phone they are so kind I feel like I'm talking to a friend. I think this bank deserves 10.,
Rita,12.07.2023,"Douglasville, GA",merrick_bank,1,A complete nuisance with all your ads just to try to pay my bill. I was on the phone for over 30 minutes just trying to pay my bill. It should not be this hard. I had to press the pound sign so many times. Why?Why?Why? Your special offers are horrible.,
Cindy,6.07.2023,"Wiggins, CO",merrick_bank,5,Great Service. Easy to work with. No problems on trying to get payment in. I've had great service with him. As long as I've had them I would recommend you guys to everybody else that I know that does not have your card. Great! Increases when you don't expect them.,
Nadine,5.07.2023,"Farmington, NM",merrick_bank,3,"Don't use it like I use to, only when I really do need it. So not much to say on that. Just trying to pay it down to a reasonable amount owed. I like my choice of pictured card.. Don't care for the color. Thank you.",
Ladawn,5.07.2023,"Mustang, OK",merrick_bank,5,"Very easy to access app. Decent credit line to start with. They reward you with good payment history! Communication emails with payment made and statements available. Their app is extremely easy to use. I just can't say enough about Merrick Bank, they just make everything so easy. When life is busy you don't have time for frustrating apps, etc and with Merrick Bank you don't have to worry about that!",
Ladon,5.07.2023,"Laplace, LA",merrick_bank,4,"My husband and I were out of town on June 29, 2023, this was 2 days before my Merrick credit card payment was due. I panicked because I was used to making the payment online, and I remembered I did NOT bring my laptop with me. I decided to call Merrick to make the payment on the phone. The representative that answered my call was very professional, pleasant, and very helpful. Keep up the good work.",
Aleta,5.07.2023,"Norwich, CT",merrick_bank,5,"I am and have been very pleased with my Merrick Bank credit card. Since I have never needed to contact a customer care person, I don't know how accessible, live or immediate customer service is. I would hope this service is available. The APP, however, is easy to use, and making payments online is as well. It is.",
Mallorie,5.07.2023,"Danvers, MA",merrick_bank,2,"The interest rates that Merrick Bank charges should be reviewed carefully. They start off with a low interest rate then gradually increase it even with excellent credit and no missed payments, a 30% interest rate on purchases is unreasonable and ridiculous. Merrick Bank should reward excellent customers. Instead they continue to increase the interest rates every time there a flux in rate hikes. This is not good business.",
Donna,3.07.2023,"Swannanoa, NC",merrick_bank,5,I happen to love how Merrick Bank does business- They are very customer service oriented and always a phone call away. I like that they increase credit availability at random and is fair about it- I also like using Merrick Bank card - It’s my go to MasterCard and like that it’s safe to use anywhere.,
Roland,3.07.2023,"High Point, NC",merrick_bank,5,I would recommend a friend. I give you guys 5 stars. I have been very pleased with my experience with Merrick Bank. Look forward to a long lasting relations and my wife has been pleased with your service. You gave me a card at a time when I was rebuilding my credit and you gave me a chance.,
Larry,1.07.2023,"Columbus, OH",merrick_bank,5,"This card is well recognized when I use it. It has great customer service, and makes me feel like I am a valued customer! I love the card as well as doing business with this bank and highly recommend it to all my friends and strangers alike. If you do not have this card then get on the ball and get on- you are missing out!",
Tara,30.06.2023,"Aurora, CO",merrick_bank,5,I love my Merrick Bank credit card and the company. I have not had any issues and if I have needed to make contact with them; they are always helpful and courteous. My account is reviewed on a regular basis and I am given increases to show how well I manage the card.,
Faye,30.06.2023,"Ozark, MO",merrick_bank,4,My time has been good and have enjoyed using my card since I opened my account with your company. Would like to see a credit increase more often for on time payments as an incentive. My service has always been good and helpful whenever I need to check on my account. Thank you.,
Virginia,30.06.2023,"Corpus Christi, TX",merrick_bank,5,It was easy and simple to use your web site to make my payment online. I would recommend using the web site to anyone who has a credit card with you. I have used your website every time that I need to pay my credit card bill and it was so easy for me. After making my payment online with you I received my credit immediately and received a confirmation right away. I would recommend your bank services online to anyone who has an account with you.,
Patricia,30.06.2023,"Renton, WA",merrick_bank,5,"I am happy with the service. I love the telephone banking. My payments are processed quickly and get my updated information by the next day. My statements arrive on time. When I have dealt with a representative, they were helpful and knowledgeable. I like that there is no membership fee, also my account is closely monitored.",
Paul,30.06.2023,"Plano, TX",merrick_bank,1,"Beware of Merrick Bank business tactics. First, if you schedule a payment on their website, they will hide the scheduled payment from you on their website in an effort to get additional payment. Second, if you enroll in automatic notices, they will NOT send you reminders so they can hit you for late fees. Third, their monthly fees, even if you have no balance, is usurious and should be prohibited.",
Rachel,23.06.2023,"Denison, TX",merrick_bank,5,"This credit card, by far and large, has been the easiest card to have and manage. I got it to help repair/build my credit and they have given me credit limit increases without me having to ask for it. I don't get spam emails, no one calls me about anything, I get text reminders if I need them and the app is super easy to use. I haven't had a single issue to date, I'm really glad I got this card.",3.0
Luis,22.06.2023,"Bakersfield, CA",merrick_bank,5,"Love this card, one of THE best cards I own. Quick and easy and the fact that they raise your limit makes it that much better. I’ve had this cards for over 2 years and my and never once had any issues. Will refer this card to everyone I know.",
Anchulita,22.06.2023,"Antioch, CA",merrick_bank,5,This is an nice credit card to help build your credit to start off with. I'm pleased with it. No problems it. For a Mastercard it works out good in many places. I would recommend to people starting their credit.,
Elsie,21.06.2023,"Burlington, NC",merrick_bank,5,The Merrick credit card was the first card that I got and I’m very satisfied with it. Always got what I needed and wanted with the card. Praises To My Lord! Thank you Merrick. I surely would recommend the Merrick Credit Card to friends! It’s a credit card I can use anywhere and any time. Thanks again Merrick Bank!,
Beverly,16.06.2023,"Oklahoma City, OK",merrick_bank,5,I have had a remarkable experience with Merrick Bank's Credit Card and I am very happy with their professionalism in customer service. I would recommend to a friend. When I had an important question I did not hesitate to call and talk with the necessary department. When I called they helped me fix the issue.,
Delores,16.06.2023,"Spring Hope, NC",merrick_bank,5,I am very happy with the service I have received with Merrick. They have honored everything promised and they continue to provide more services without me having to ask. I highly recommend them to all. Give them a try and you will not regret your decision to give them your business. Your satisfaction is at the top of their list.,
Suzanne,16.06.2023,"Rio Rancho, NM",merrick_bank,5,Best and most responsible credit company I have ever worked with. They only give credit raises as they are earned and so keeping within your means. They have great customer service reps and are quick to resolve any and all issues that may arise during the course of doing business using their cards and services.,
Maryanne,16.06.2023,"Tewksbury, MA",merrick_bank,5,"I love everything about this card. The card itself, the website, the app and the live people who answer your phone questions. BEST CARD OUT THERE!! Would recommend to family and friends…and I have. The app is so easy to use to pay my monthly statement. I can find my balance and available monetary limit easily.",
Julie,12.06.2023,"Grafton, OH",merrick_bank,5,"Customer service has been outstanding. Any issues I have had with a purchase, they have helped resolve efficiently and quickly. I would absolutely recommend! The fraud department also helped cancel my card immediately when I noticed unauthorized purchases on my account that were not mine. I had a new card & account number in no time. They quickly investigated and fixed my account. Merrick has helped me reestablish credit after a bankruptcy.",
Wilma,9.06.2023,"Catonsville, MD",merrick_bank,5,I received my card and have experienced very positive credit ratings from the use of my card. That's very important in today's times especially now with inflation and the need to rely on your credit card in the place of budgetary challenges.,
George,7.06.2023,"Peachbottom, PA",merrick_bank,5,"I can't say anything bad about this card. It's been awesome! From set up, to payments, to service. 5 stars! App is great, easy to use and understand as well as navigate. If you get the chance to get this card, do it.",
Marilyn,7.06.2023,"Bakersfield, CA",merrick_bank,5,"When I signed up for an account it was a minimal amount and I didn't really think much of it. They have rewarded me not once but twice for being a good customer. This doesn't happen with other credit card banks. I truly am happy and would highly recommend anyone eligible to apply for a Merrick Bank credit card. Rewarding good behavior, what a concept. . .",
Tiffany,7.06.2023,"Atlanta, GA",merrick_bank,2,I am not sure what factors are considered when issuing a credit line increase but I know Merrick Bank does not compare to other creditors that I have. Any time I have gotten a credit line increase it has been at least $1000 plus they offer cash back and other incentives but Merrick gave me a $200 credit line and doesn't at least offer,
Ricky,7.06.2023,"Morristown, TN",merrick_bank,5,They have always treated me fairly and professionally. I've had someone steal my info and use it. I reported it to Merrick Bank. They fixed the issue and returned my money. They have always been professional. I would recommend them to anyone.,
Denise,7.06.2023,"Scottsdale, AZ",merrick_bank,5,I have been with Merrick Bank Visa card for like 7 years. I love it. They give you increase when you pay on time and do not be late on payments. They are a good new start card. Help build your credit. They report monthly to all credit companies.,
Debor,7.06.2023,"Henderson, NV",merrick_bank,5,This card is easy to use and when I have had a problem such as replacing a card or asking about a charge the staff had always been very pleasant and helpful. I would recommend this card to others but do wish the interest was a bit lower.,
Melode,7.06.2023,"Evensville, TN",merrick_bank,5,Was very happy that Merrick helped me with my issue of a product that never arrived and researching the site further listed it as a scam with a trust level of one out of a hundred. It's hard to know who to trust online these days.,
